	Category_1	Category_2	Category_3	Category_4
Aggregate_Fahrwerk-->HA-->Achslenker-->Querlenker	1.0			
Aggregate_Fahrwerk-->HA-->Anbauteile-->	18.0			
Aggregate_Fahrwerk-->HA-->Dämpfungssystem-->	395.0			
Aggregate_Fahrwerk-->HA-->Dämpfungssystem-->Dämpfer	7.0			
Aggregate_Fahrwerk-->HA-->Dämpfungssystem-->Luftfederkompr	4.0			
Aggregate_Fahrwerk-->HA-->Gelenkwellen-->	129.0			
Aggregate_Fahrwerk-->HA-->HA-Differential-->	79.0			
Aggregate_Fahrwerk-->HA-->HIRA-->	567.0			
Aggregate_Fahrwerk-->HA-->Schwenklager_Radträger-->	41.0			
Aggregate_Fahrwerk-->HA-->Stabilisator-->	436.0			
Aggregate_Fahrwerk-->HA-->Übersichten ZSB-->	11.0			
Aggregate_Fahrwerk-->Kraftstoffanlage-->-->	106.0			
Aggregate_Fahrwerk-->Kraftstoffanlage-->Kraftstoffleitungen-->	162.0			
Aggregate_Fahrwerk-->Kraftstoffanlage-->Tank-->	405.0			
Aggregate_Fahrwerk-->Kraftstoffanlage-->Tank-->AKF-Behälter	9.0			
Aggregate_Fahrwerk-->Kraftstoffanlage-->Tank-->Einfüllstutzen	37.0			
Aggregate_Fahrwerk-->Kraftstoffanlage-->Übersichten ZSB-->	1.0			
Aggregate_Fahrwerk-->Lenkung-->-->	750.0			
Aggregate_Fahrwerk-->Lenkung-->Lenkgetriebe-->	124.0			
Aggregate_Fahrwerk-->Lenkung-->Lenksäule-->	45.0			
Aggregate_Fahrwerk-->Motor-->-->	144.0			
Aggregate_Fahrwerk-->Motor-->Anbauteile-->	144.0			
Aggregate_Fahrwerk-->Motor-->Motorkühlung-->	59.0			
Aggregate_Fahrwerk-->Motor-->Motorkühlung-->Heizung	5.0			
Aggregate_Fahrwerk-->Motor-->Motorkühlung-->Ladeluftkühler_LLK	14.0			
Aggregate_Fahrwerk-->Motor-->Motorkühlung-->Rohre_Leitungen	119.0			
Aggregate_Fahrwerk-->Motor-->Ölwanne-->	31.0			
Aggregate_Fahrwerk-->Motor-->Ölwanne-->Deckel	2.0			
Aggregate_Fahrwerk-->Motorraum-->-->	2421.0			
Aggregate_Fahrwerk-->Motorraum-->Anbauteile-->	801.0			
Aggregate_Fahrwerk-->Motorraum-->Anbauteile-->Leitungen	9.0			
Aggregate_Fahrwerk-->Motorraum-->BKV-->Leitungen	6.0			
Aggregate_Fahrwerk-->Motorraum-->Klimaanlage-->	94.0			
Aggregate_Fahrwerk-->Motorraum-->Klimaanlage-->Klimakühler	9.0			
Aggregate_Fahrwerk-->Motorraum-->Klimaanlage-->Kompressor	21.0			
Aggregate_Fahrwerk-->Motorraum-->Klimaanlage-->Leitungen	31.0			
Aggregate_Fahrwerk-->Motorraum-->Klimaanlage-->Luftfederkompr	10.0			
Aggregate_Fahrwerk-->Motorraum-->Sättel-->Einfüllstutzen	12.0			
Aggregate_Fahrwerk-->Motorraum-->Sättel-->Luftfederkompr	7.0			
Aggregate_Fahrwerk-->VA-->-->	8521.0			
Aggregate_Fahrwerk-->VA-->Achslenker-->	316.0			
Aggregate_Fahrwerk-->VA-->Achslenker-->Querlenker_links	6.0			
Aggregate_Fahrwerk-->VA-->Achslenker-->Querlenker_rechts	6.0			
Aggregate_Fahrwerk-->VA-->Achslenker-->Traglenker,-gelenk	1.0			
Aggregate_Fahrwerk-->VA-->Anbauteile-->	59.0			
Aggregate_Fahrwerk-->VA-->Dämpfungssystem-->	507.0			
Aggregate_Fahrwerk-->VA-->Dämpfungssystem-->Dämpfer_links	4.0			
Aggregate_Fahrwerk-->VA-->Dämpfungssystem-->Dämpfer_rechts	7.0			
Aggregate_Fahrwerk-->VA-->Gelenkwellen-->	237.0			
Aggregate_Fahrwerk-->VA-->Gelenkwellen-->Gelenkwellen_links	10.0			
Aggregate_Fahrwerk-->VA-->Gelenkwellen-->Gelenkwellen_rechts	3.0			
Aggregate_Fahrwerk-->VA-->HIRA-->	341.0			
Aggregate_Fahrwerk-->VA-->Schwenklager  Radträger-->	154.0			
Aggregate_Fahrwerk-->VA-->Stabilisator-->	483.0			
Aggregate_Fahrwerk-->VA-->Übersichten ZSB-->	7.0			
Airbag			3.0	
Airbagsysteme			1.0	
Anbauteile		5838.0	1519.0	
Anbauteile Motorraum		10.0		
Anhängevorrichtung			3.0	
Antennen			16.0	
Antrieb_Heckwischer				5.0
Anzeigeelemente			10.0	
Anzeigegeräte			14.0	
Assistenzsysteme			84.0	
Aufbau		4825.0	36.0	
Aufprallträger_AHV			106.0	
Aussenteil				13.0
Außenraum 12V/48V		60.0		
Außenspiegel			143.0	
BKV			41.0	
Bedienelemente_Lenkrad			21.0	
Bef-Rahmen			6.0	
Beleuchtung			22.0	
Betätigungselemente			4.0	
Betätigungshebel				7.0
Blenden				22.0
Boden		635.0	53.0	
Boden vorn			5.0	
Boden_hinten			119.0	
Boden_vorn			217.0	
Bremsleitungen			370.0	
Bremsscheiben			239.0	
Bremssystem		5062.0		
Crashmanagement			2.0	
Dach			397.0	
Dachsystem		178.0		
Dachzierleiste_glanz_schwarz				69.0
Deckel				2.0
Dichtung_aussen				77.0
Dichtung_innen				28.0
Druckrahmen			37.0	
Dämpfer				13.0
Dämpfer_links				4.0
Dämpfer_rechts				7.0
Dämpfungssystem			974.0	
Dämpfungswannen_Unterfahrschutz			36.0	
ESC-Aggregat			4.0	
ESP-Aggregat			100.0	
Einfüllstutzen				50.0
El_Struktur		116.0		
Elektrik-->-->-->	1357.0			
Elektrik-->-->Kühlerlüftermodul-->	2.0			
Elektrik-->-->Scheinwerfer_Blinker-->	1.0			
Elektrik-->-->Wischeranlage-->	1.0			
Elektrik-->-->Zündspulen_Starter_Generator-->	1.0			
Elektrik-->Außenraum 12V/48V-->-->	8.0			
Elektrik-->Außenraum 12V/48V-->Antennen-->	9.0			
Elektrik-->Außenraum 12V/48V-->Assistenzsysteme-->	7.0			
Elektrik-->Außenraum 12V/48V-->Beleuchtung-->	22.0			
Elektrik-->Außenraum 12V/48V-->Fanfaren/Sound-->	7.0			
Elektrik-->Außenraum 12V/48V-->Lüfter-->	2.0			
Elektrik-->Außenraum 12V/48V-->Starter/Generator-->	2.0			
Elektrik-->Außenraum 12V/48V-->Steuergeräte sonstige-->	3.0			
Elektrik-->El_Struktur-->-->	6.0			
Elektrik-->El_Struktur-->Leitungssatz-->	63.0			
Elektrik-->El_Struktur-->Masse_Anzahl_Ort-->Innenraum_1-7	34.0			
Elektrik-->El_Struktur-->Masse_Anzahl_Ort-->Motorraum_8-12	13.0			
Elektrik-->Fahrwerkselektronik-->-->	2.0			
Elektrik-->Fahrwerkselektronik-->ABS-->	15.0			
Elektrik-->Fahrwerkselektronik-->Niveausensoren-->LWR	29.0			
Elektrik-->Frontend_Motorraum-->-->	975.0			
Elektrik-->Frontend_Motorraum-->Assistenzsysteme-->	23.0			
Elektrik-->Frontend_Motorraum-->Assistenzsysteme-->Signalhörner	8.0			
Elektrik-->Frontend_Motorraum-->Außenspiegel-->	1.0			
Elektrik-->Frontend_Motorraum-->Heckleuchten_Bremsleuchte-->	8.0			
Elektrik-->Frontend_Motorraum-->Kühlerlüftermodul-->	14.0			
Elektrik-->Frontend_Motorraum-->M-Steuergerät_Halter-->	35.0			
Elektrik-->Frontend_Motorraum-->Scheinwerfer_Blinker-->	611.0			
Elektrik-->Frontend_Motorraum-->Wischeranlage-->	175.0			
Elektrik-->Frontend_Motorraum-->Wischeranlage-->aussen	1.0			
Elektrik-->Frontend_Motorraum-->Zündspulen_Starter_Generator-->	61.0			
