	Category_1	Category_2	Category_3	Category_4
Karosserie_Montage-->Türen-->Hinten_Rechts-->Hinten_Rechts	1.0			
Karosserie_Montage-->Türen-->Hinten_Rechts-->Türschlösser_Bowdenzüge	1.0			
Karosserie_Montage-->Türen-->Hinten_Rechts-->Vorne_Links	2.0			
Karosserie_Montage-->Türen-->Hinten_Rechts-->aussen	23.0			
Karosserie_Montage-->Türen-->Vorne_Links-->	233.0			
Karosserie_Montage-->Türen-->Vorne_Links-->Abdeckungen	1.0			
Karosserie_Montage-->Türen-->Vorne_Links-->Betätigungshebel	1.0			
Karosserie_Montage-->Türen-->Vorne_Links-->Blenden	13.0			
Karosserie_Montage-->Türen-->Vorne_Links-->Dichtung_aussen	23.0			
Karosserie_Montage-->Türen-->Vorne_Links-->Dichtung_innen	6.0			
Karosserie_Montage-->Türen-->Vorne_Links-->FK-Schloß	1.0			
Karosserie_Montage-->Türen-->Vorne_Links-->Fensterheber	36.0			
Karosserie_Montage-->Türen-->Vorne_Links-->Fensterschachtleisten	10.0			
Karosserie_Montage-->Türen-->Vorne_Links-->Griffe_Lagerbügel	10.0			
Karosserie_Montage-->Türen-->Vorne_Links-->Türschlösser_Bowdenzüge	18.0			
Karosserie_Montage-->Türen-->Vorne_Rechts-->	210.0			
Karosserie_Montage-->Türen-->Vorne_Rechts-->Blenden	1.0			
Karosserie_Montage-->Türen-->Vorne_Rechts-->Dachzierleiste_glanz_schwarz	1.0			
Karosserie_Montage-->Türen-->Vorne_Rechts-->Dichtung_aussen	13.0			
Karosserie_Montage-->Türen-->Vorne_Rechts-->Dichtung_innen	10.0			
Karosserie_Montage-->Türen-->Vorne_Rechts-->FK-Schloß	4.0			
Karosserie_Montage-->Türen-->Vorne_Rechts-->Fanghaken_Schließbügel	2.0			
Karosserie_Montage-->Türen-->Vorne_Rechts-->Fensterheber	23.0			
Karosserie_Montage-->Türen-->Vorne_Rechts-->Spoiler	4.0			
Karosserie_Montage-->Türen-->Vorne_Rechts-->Türschlösser_Bowdenzüge	1.0			
Karosserie_Montage-->Türen-->Vorne_Rechts-->Vorne_Rechts	4.0			
Karosserie_Montage-->Vorbau-->Heckleuchten_Bremsleuchte-->	4.0			
Karosserie_Montage-->Übersichtsaufnahmen-->-->	1163.0			
Karosserie_Montage-->Übersichtsaufnahmen-->Aufbau-->	24.0			
Karosserie_Montage-->Übersichtsaufnahmen-->Boden-->	37.0			
Karosserie_Montage-->Übersichtsaufnahmen-->Boden-->Abdeckungen_Blenden	1.0			
Karosserie_Montage-->Übersichtsaufnahmen-->Boden-->LWR	5.0			
Karosserie_Montage-->Übersichtsaufnahmen-->Boden-->Spoiler	9.0			
Karosserie_Montage-->Übersichtsaufnahmen-->Boden-->innen	1.0			
Karosserie_Montage-->Übersichtsaufnahmen-->Kotflügelbank-->	13.0			
Karosserie_Montage-->Übersichtsaufnahmen-->Motorraum-->Fanghaken_Schließbügel	1.0			
Karosserie_Montage-->Übersichtsaufnahmen-->Scheibenquerträger_vorn_Stirnwand-->	3.0			
Karosserie_Montage-->Übersichtsaufnahmen-->Stoßfänger-->	2.0			
Karosserie_Rohbau-->-->-->	21.0			
Karosserie_Rohbau-->Anbauteile-->-->	88.0			
Karosserie_Rohbau-->Anbauteile-->Aufbau-->	2.0			
Karosserie_Rohbau-->Anbauteile-->Dach-->	8.0			
Karosserie_Rohbau-->Anbauteile-->Frontklappe-->	360.0			
Karosserie_Rohbau-->Anbauteile-->Frontklappe-->Abdeckungen	5.0			
Karosserie_Rohbau-->Anbauteile-->Frontklappe-->Dachzierleiste_glanz_schwarz	10.0			
Karosserie_Rohbau-->Anbauteile-->Frontklappe-->Griffe_Lagerbügel	2.0			
Karosserie_Rohbau-->Anbauteile-->Frontklappe-->Innenverkleidungen	5.0			
Karosserie_Rohbau-->Anbauteile-->Frontklappe-->Spoiler	3.0			
Karosserie_Rohbau-->Anbauteile-->Frontklappe-->Türschlösser_Bowdenzüge	1.0			
Karosserie_Rohbau-->Anbauteile-->Heck-->	8.0			
Karosserie_Rohbau-->Anbauteile-->Heckklappe-->	532.0			
Karosserie_Rohbau-->Anbauteile-->Kotflügel-->	386.0			
Karosserie_Rohbau-->Anbauteile-->Türen-->	439.0			
Karosserie_Rohbau-->Anbauteile-->Türen-->Blenden	1.0			
Karosserie_Rohbau-->Anbauteile-->Türen-->Dichtung_aussen	4.0			
Karosserie_Rohbau-->Anbauteile-->Türen-->Fensterschachtleisten	1.0			
Karosserie_Rohbau-->Anbauteile-->Türen-->Hinten_Links	212.0			
Karosserie_Rohbau-->Anbauteile-->Türen-->Hinten_Rechts	197.0			
Karosserie_Rohbau-->Anbauteile-->Türen-->Türschlösser_Bowdenzüge	3.0			
Karosserie_Rohbau-->Anbauteile-->Türen-->Vorne_Links	278.0			
Karosserie_Rohbau-->Anbauteile-->Türen-->Vorne_Rechts	276.0			
Karosserie_Rohbau-->Aufbau-->-->	513.0			
Karosserie_Rohbau-->Aufbau-->Boden_vorn-->	19.0			
Karosserie_Rohbau-->Aufbau-->Dach-->	375.0			
Karosserie_Rohbau-->Aufbau-->Heck-->	514.0			
Karosserie_Rohbau-->Aufbau-->Innenraum-->	295.0			
Karosserie_Rohbau-->Aufbau-->Kotflügel-->	11.0			
Karosserie_Rohbau-->Aufbau-->Kotflügelbank-->	9.0			
Karosserie_Rohbau-->Aufbau-->Längsträger_vorn-->	2.0			
Karosserie_Rohbau-->Aufbau-->Radhaus_hinten-->	328.0			
Karosserie_Rohbau-->Aufbau-->Radhaus_vorn-->	5.0			
Karosserie_Rohbau-->Aufbau-->Schweller-->	378.0			
Karosserie_Rohbau-->Aufbau-->Seitenteil-->	1433.0			
Karosserie_Rohbau-->Aufbau-->Säule_A-->	588.0			
Karosserie_Rohbau-->Aufbau-->Säule_B-->	279.0			
Karosserie_Rohbau-->Aufbau-->Säule_C-->	4.0			
Karosserie_Rohbau-->Aufbau-->Wasserkasten-->	6.0			
Karosserie_Rohbau-->Boden-->-->	246.0			
Karosserie_Rohbau-->Boden-->Boden_hinten-->	114.0			
Karosserie_Rohbau-->Boden-->Boden_hinten-->Tunnelbrücke	2.0			
Karosserie_Rohbau-->Boden-->Boden_vorn-->	177.0			
Karosserie_Rohbau-->Boden-->Boden_vorn-->Gehängeaufnahme	21.0			
Karosserie_Rohbau-->Boden-->Dach-->	2.0			
Karosserie_Rohbau-->Boden-->Radhaus_hinten-->	9.0			
Karosserie_Rohbau-->Boden-->Seitenteil-->	29.0			
Karosserie_Rohbau-->Klappen-->Heck-->	1.0			
Karosserie_Rohbau-->Klappen-->Heckleuchten_Bremsleuchte-->	1.0			
Karosserie_Rohbau-->Kofferraum_Heckklappe-->-->	6.0			
Karosserie_Rohbau-->Kofferraum_Heckklappe-->Leitungssatz-->	8.0			
Karosserie_Rohbau-->Kofferraum_Heckklappe-->Tankklappe-->	12.0			
Karosserie_Rohbau-->Vorbau-->-->	276.0			
Karosserie_Rohbau-->Vorbau-->Boden_hinten-->	3.0			
Karosserie_Rohbau-->Vorbau-->Dach-->	3.0			
Karosserie_Rohbau-->Vorbau-->Federbeinaufnahmen-->	183.0			
Karosserie_Rohbau-->Vorbau-->Kotflügel-->	7.0			
Karosserie_Rohbau-->Vorbau-->Kotflügelbank-->	189.0			
Karosserie_Rohbau-->Vorbau-->Längsträger_vorn-->	117.0			
Karosserie_Rohbau-->Vorbau-->Radhaus_hinten-->	9.0			
Karosserie_Rohbau-->Vorbau-->Radhaus_vorn-->	42.0			
Karosserie_Rohbau-->Vorbau-->Scheibenquerträger_vorn_Stirnwand-->	169.0			
Karosserie_Rohbau-->Vorbau-->Seitenteil-->	3.0			
Karosserie_Rohbau-->Vorbau-->Säule_A-->	23.0			
Karosserie_Rohbau-->Vorbau-->Türen-->	2.0			
Karosserie_Rohbau-->Vorbau-->Wasserkasten-->	264.0			
Karosserie_Rohbau-->Vorbau-->Wasserkasten-->Abdeckungen	1.0			
Karosserie_Rohbau-->Übersichtsaufnahmen-->-->	494.0			
Karosserie_Rohbau-->Übersichtsaufnahmen-->Heck-->	10.0			
Karosserie_Rohbau-->Übersichtsaufnahmen-->Vorbau-->	2.0			
Karosseriemechatronik		10.0		
Klappen		2298.0		
Klimaanlage			169.0	
Klimakühler				9.0
Kofferraum_Heckklappe		596.0		
Kompressor				21.0
Kotflügel			439.0	
Kotflügelbank			213.0	
Kraftstoffanlage		805.0		
Kraftstoffleitungen			169.0	
Kühlerlüftermodul			16.0	
LWR				34.0
Ladeluftkühler_LLK				14.0
Lautsprecher			18.0	
Leitungen				46.0
Leitungssatz			75.0	
Lenkgetriebe			134.0	
Lenksäule			55.0	
Lenkung		939.0		
Luftfederkompr				28.0
Längsträger vorn			8.0	
Längsträger_vorn			120.0	
Lüfter			2.0	
M-Steuergerät_Halter			35.0	
Masse_Anzahl_Ort			47.0	
Motor		561.0		
Motorkühlung			197.0	
Motorlager			2.0	
Motorraum		3421.0	1.0	
Motorraum_8-12				13.0
Niveausensoren			35.0	
Oelleitungen			40.0	
Parkassistent			2.0	
Pedale etc			31.0	
Querlenker				1.0
Querlenker links				1.0
Querlenker_links				6.0
Querlenker_rechts				6.0
Radhaus hinten			1.0	
Radhaus_hinten			346.0	
Radhaus_vorn			53.0	
Radlager				2.0
Radlaufblenden			4.0	
Radlaufschalen			226.0	
Rahmen			5.0	
Rohre_Leitungen				119.0
Schalldämpfer			11.0	
Schaltgestänge			127.0	
Scharnier				11.0
Scheibenquerträger_vorn_Stirnwand			174.0	
Scheinwerfer_Blinker			630.0	
Schiebedach_Großdach			79.0	
Schließkeil				2.0
Schweller			378.0	
Schwellerbeplankung		37.0		
Schwenklager  Radträger			169.0	
Schwenklager Radträger			4.0	
Schwenklager_Radträger			41.0	
Seitenteil			1471.0	
Signalhörner				8.0
Sitzschienen		19.0		
Sonstige			63.0	
Spannbänder				6.0
Spoiler				128.0
Stabilisator			939.0	
Starter				18.0
Starter/Generator			2.0	
Steuergeräte		39.0		
Steuergeräte sonstige			5.0	
Stoßfänger			9.0	
Stoßfänger hinten		3.0		
Stoßfänger_hinten		191.0		
Stoßfänger_vorn		57.0		
Sättel			995.0	
Säule A			8.0	
Säule_A			611.0	
Säule_B			279.0	
Säule_C			4.0	
Tank			479.0	
Tankklappe			55.0	
Thermomanagement-->-->-->	1.0			
Traglenker,-gelenk				1.0
Tunnelbrücke				2.0
Tunnelquerträger			19.0	
Tunnelstrebe			177.0	
Türen		3246.0	1413.0	
Türschlösser Bowdenzüge				2.0
Türschlösser_Bowdenzüge				40.0
Unterboden			9.0	
VA		10761.0		
VA links				3.0
VA_links				1.0
VA_rechts				5.0
Verdeck			21.0	
Vorbau		1342.0	2.0	
Vorne				6.0
Vorne Links			39.0	
Vorne Rechts			12.0	
Vorne_Links			352.0	284.0
Vorne_Rechts			273.0	282.0
Wasserkasten			271.0	
Wasserkastenvorderwand			51.0	
Wischeranlage			195.0	
Wärmedämmung			2.0	
Zierleiste_Scheibe_Säule_C				5.0
Zierteile			266.0	
Zündspulen_Starter_Generator			83.0	
aussen				39.0
cW-Verkleidung				9.0
cW-Verkleidungen			218.0	
hinten links				2.0
innen				1.0
links				16.0
rechts				25.0
Ölwanne			33.0	
Übersicht		9.0		
Übersichten ZSB			40.0	
Übersichtsaufnahmen		1766.0		
